sls_ord_num,product_key,customer_key,sls_sales,sls_quantity,sls_price,sls_order_dt,sls_ship_dt,sls_due_dt
SO43741,20,16672,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43742,19,2577,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43743,10,8,3400,1,3400,09-01-2011,16-01-2011,21-01-2011
SO43744,18,5632,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43745,16,5515,3578,1,3578,10-01-2011,17-01-2011,22-01-2011
SO43746,17,5617,3578,1,3578,10-01-2011,17-01-2011,22-01-2011
SO43747,19,16624,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43748,18,16626,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43749,19,16637,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43750,16,592,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43751,18,593,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43752,16,2266,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43753,20,5483,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43754,17,16618,3578,1,3578,12-01-2011,19-01-2011,24-01-2011
SO43755,16,16671,3578,1,3578,12-01-2011,19-01-2011,24-01-2011
SO43756,39,8942,699,1,699,12-01-2011,19-01-2011,24-01-2011
SO43757,5,18,3375,1,3375,12-01-2011,19-01-2011,24-01-2011
SO43758,20,16647,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43759,20,2258,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43760,19,5353,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43761,20,5494,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43762,19,16579,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
SO43763,18,5526,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
SO43764,20,5613,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
SO43765,9,11,3400,1,3400,14-01-2011,21-01-2011,26-01-2011
SO43766,18,5519,3578,1,3578,15-01-2011,22-01-2011,27-01-2011
SO43767,5,2,3375,1,3375,15-01-2011,22-01-2011,27-01-2011
SO43768,17,16650,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43769,17,10660,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43770,17,16615,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43771,44,3560,699,1,699,16-01-2011,23-01-2011,28-01-2011
SO43772,17,5525,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43773,19,5527,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43774,18,5349,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43775,10,28,3400,1,3400,16-01-2011,23-01-2011,28-01-2011
SO43776,19,2261,3578,1,3578,17-01-2011,24-01-2011,29-01-2011
SO43777,16,5516,3578,1,3578,17-01-2011,24-01-2011,29-01-2011
SO43778,8,19,3400,1,3400,17-01-2011,24-01-2011,29-01-2011
SO43779,42,14253,699,1,699,17-01-2011,24-01-2011,29-01-2011
SO43780,16,600,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43781,17,5496,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43782,17,5517,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43783,17,5621,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43784,20,16668,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43785,16,602,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43786,16,608,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43787,7,18386,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43788,6,240,3375,1,3375,19-01-2011,26-01-2011,31-01-2011
SO43789,6,14866,3375,1,3375,19-01-2011,26-01-2011,31-01-2011
SO43790,7,14858,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43791,19,5485,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43792,17,5624,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43793,7,1,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43794,10,30,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43795,17,16616,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43796,38,6957,699,1,699,20-01-2011,27-01-2011,01-02-2011
SO43797,17,5346,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43798,20,5522,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43799,17,5637,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43800,16,10711,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43801,16,2584,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43802,17,594,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43803,19,10742,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43804,20,2586,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43805,43,3511,699,1,699,22-01-2011,29-01-2011,03-02-2011
SO43806,17,5524,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43807,17,612,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43808,18,2260,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43809,20,5351,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43810,8,5,3400,1,3400,23-01-2011,30-01-2011,04-02-2011
SO43811,9,27,3400,1,3400,23-01-2011,30-01-2011,04-02-2011
SO43812,17,16663,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43813,5,17391,3375,1,3375,24-01-2011,31-01-2011,05-02-2011
SO43814,5,14867,3375,1,3375,24-01-2011,31-01-2011,05-02-2011
SO43815,16,5495,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43816,19,5497,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43817,20,5520,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43818,17,5529,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43819,9,7,3400,1,3400,24-01-2011,31-01-2011,05-02-2011
SO43820,17,16652,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43821,20,16664,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43822,18,16670,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43823,38,8943,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43824,36,3559,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43825,18,5350,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43826,3,9,3375,1,3375,25-01-2011,01-02-2011,06-02-2011
SO43827,36,14251,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43828,20,16606,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43829,20,16612,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43830,16,5348,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43831,4,29,3375,1,3375,26-01-2011,02-02-2011,07-02-2011
SO43832,20,2585,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43833,20,10728,3578,1,3578,27-01-2011,03-02-2011,08-02-2011
SO43834,3,17394,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43835,3,8803,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43836,47,15621,699,1,699,27-01-2011,03-02-2011,08-02-2011
SO43837,5,10,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43838,18,16642,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43839,16,16674,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43840,42,6958,699,1,699,28-01-2011,04-02-2011,09-02-2011
SO43841,19,2407,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43842,17,5631,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43918,18,11042,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43919,19,1125,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43920,18,17067,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43921,18,5744,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43922,20,2547,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43923,17,17019,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43924,20,1133,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43925,19,5662,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43926,6,56,3375,1,3375,31-01-2011,07-02-2011,12-02-2011
SO43927,19,5663,3578,1,3578,31-01-2011,07-02-2011,12-02-2011
SO43928,18,5741,3578,1,3578,31-01-2011,07-02-2011,12-02-2011
SO43929,46,14271,699,1,699,31-01-2011,07-02-2011,12-02-2011
SO43930,17,17039,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43931,18,2549,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43932,19,5742,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43933,10,32,3400,1,3400,01-02-2011,08-02-2011,13-02-2011
SO43934,9,35,3400,1,3400,01-02-2011,08-02-2011,13-02-2011
SO43935,40,9049,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43936,16,17066,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43937,17,6048,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43938,20,5687,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43939,17,5660,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43940,41,14295,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43941,19,2601,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43942,20,6052,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43943,36,3566,699,1,699,03-02-2011,10-02-2011,15-02-2011
SO43944,7,55,3400,1,3400,03-02-2011,10-02-2011,15-02-2011
SO43945,20,5676,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43946,18,5688,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43947,20,5713,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43948,8,48,3400,1,3400,03-02-2011,10-02-2011,15-02-2011
SO43949,20,16727,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43950,16,17015,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43951,16,5697,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43952,17,5640,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43953,38,9050,699,1,699,05-02-2011,12-02-2011,17-02-2011
SO43954,16,2603,3578,1,3578,05-02-2011,12-02-2011,17-02-2011
SO43955,19,2662,3578,1,3578,05-02-2011,12-02-2011,17-02-2011
SO43956,7,31,3400,1,3400,05-02-2011,12-02-2011,17-02-2011
SO43957,18,17069,3578,1,3578,06-02-2011,13-02-2011,18-02-2011
SO43958,17,5659,3578,1,3578,06-02-2011,13-02-2011,18-02-2011
SO43959,3,36,3375,1,3375,06-02-2011,13-02-2011,18-02-2011
SO43960,4,47,3375,1,3375,06-02-2011,13-02-2011,18-02-2011
SO43961,16,17032,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43962,17,17077,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43963,19,5686,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43964,17,5746,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43965,6,39,3375,1,3375,07-02-2011,14-02-2011,19-02-2011
SO43966,10,40,3400,1,3400,07-02-2011,14-02-2011,19-02-2011
SO43967,18,17041,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43968,18,17068,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43969,20,17072,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43970,16,5685,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43971,19,5658,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43972,19,10940,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43973,17,17040,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43974,17,2688,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43975,17,2541,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43976,20,17064,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43977,17,5704,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43978,20,17031,3578,1,3578,10-02-2011,17-02-2011,22-02-2011
SO43979,46,3577,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43980,6,49,3375,1,3375,10-02-2011,17-02-2011,22-02-2011
SO43981,19,5665,3578,1,3578,10-02-2011,17-02-2011,22-02-2011
SO43982,38,14272,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43983,19,17018,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43984,16,2546,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43985,18,2516,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43986,20,17071,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43987,20,17043,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43988,7,245,3400,1,3400,12-02-2011,19-02-2011,24-02-2011
SO43989,17,17084,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43990,7,14873,3400,1,3400,12-02-2011,19-02-2011,24-02-2011
SO43991,20,5661,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43992,16,5639,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43993,19,5930,3578,1,3578,14-02-2011,21-02-2011,26-02-2011
SO43994,19,16682,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43995,17,10814,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43996,20,16921,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43997,20,17023,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43998,3,34,3375,1,3375,15-02-2011,22-02-2011,27-02-2011
SO43999,16,17048,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO44000,16,16919,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44001,18,17045,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44002,41,3573,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44003,38,8326,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44004,20,17062,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44005,40,15630,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44006,20,5745,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44007,45,14556,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44008,17,16679,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44009,19,16760,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44010,20,2681,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44011,20,2515,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44012,4,53,3375,1,3375,17-02-2011,24-02-2011,01-03-2011
SO44013,17,5929,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44014,18,16918,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44015,16,2694,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44016,5,248,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44017,20,17079,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44018,5,14877,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44019,20,5702,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44020,16,5932,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44021,3,33,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44022,18,11009,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44023,4,8831,3375,1,3375,19-02-2011,26-02-2011,03-03-2011
SO44024,19,5664,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44025,19,5709,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44026,20,6046,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44027,20,10922,3578,1,3578,20-02-2011,27-02-2011,04-03-2011
SO44028,17,6049,3578,1,3578,20-02-2011,27-02-2011,04-03-2011
SO44029,5,51,3375,1,3375,20-02-2011,27-02-2011,04-03-2011
SO44030,16,1132,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44031,18,2690,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44032,7,244,3400,1,3400,21-02-2011,28-02-2011,05-03-2011
SO44033,19,5694,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44034,18,5703,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44035,17,5708,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44036,20,6047,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44037,43,14273,699,1,699,21-02-2011,28-02-2011,05-03-2011
SO44038,7,14869,3400,1,3400,21-02-2011,28-02-2011,05-03-2011
SO44039,38,6972,699,1,699,22-02-2011,01-03-2011,06-03-2011
SO44040,6,58,3375,1,3375,22-02-2011,01-03-2011,06-03-2011
SO44041,18,5743,3578,1,3578,22-02-2011,01-03-2011,06-03-2011
SO44042,18,2679,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44043,16,2680,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44044,19,2691,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44045,7,17395,3400,1,3400,23-02-2011,02-03-2011,07-03-2011
SO44046,18,17065,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44047,7,14879,3400,1,3400,23-02-2011,02-03-2011,07-03-2011
SO44048,19,5714,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44049,19,2539,3578,1,3578,24-02-2011,03-03-2011,08-03-2011
SO44050,20,6051,3578,1,3578,24-02-2011,03-03-2011,08-03-2011
SO44051,20,2692,3578,1,3578,25-02-2011,04-03-2011,09-03-2011
SO44052,19,5638,3578,1,3578,25-02-2011,04-03-2011,09-03-2011
SO44053,36,8330,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44054,19,2543,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44055,20,2544,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44056,19,2560,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44057,36,3578,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44058,5,57,3375,1,3375,26-02-2011,05-03-2011,10-03-2011
SO44059,18,5689,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44060,38,14274,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44061,20,16920,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44062,20,17042,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44063,7,241,3400,1,3400,27-02-2011,06-03-2011,11-03-2011
SO44064,20,11051,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44065,20,17063,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44066,7,14868,3400,1,3400,27-02-2011,06-03-2011,11-03-2011
SO44067,20,6050,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44068,18,2542,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44069,4,17396,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44070,4,8830,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44071,18,5692,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44072,16,5657,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44073,6,45,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44134,20,2822,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44135,20,17157,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44136,16,11115,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44137,19,6329,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44138,20,2766,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44139,16,2793,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44140,16,1222,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44141,18,2573,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44142,18,11059,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44143,18,17146,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44144,17,6072,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44145,20,6310,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44146,18,6311,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44147,20,6321,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44148,20,17173,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44149,17,6243,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44150,17,6316,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44151,43,14559,699,1,699,03-03-2011,10-03-2011,15-03-2011
SO44152,9,335,3400,1,3400,04-03-2011,11-03-2011,16-03-2011
SO44153,17,17169,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44154,16,17182,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44155,18,17132,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44156,9,14888,3400,1,3400,04-03-2011,11-03-2011,16-03-2011
SO44157,19,6056,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44158,16,2568,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
SO44159,16,17183,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
SO44160,17,17187,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
SO44161,19,2773,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44162,16,17186,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44163,19,17194,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44164,20,17089,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44165,18,6066,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44166,36,3582,699,1,699,06-03-2011,13-03-2011,18-03-2011
SO44167,19,6309,3578,1,3578,06-03-2011,13-03-2011,18-03-2011
SO44168,18,1212,3578,1,3578,07-03-2011,14-03-2011,19-03-2011
SO44169,16,17180,3578,1,3578,07-03-2011,14-03-2011,19-03-2011
SO44170,19,17184,3578,1,3578,07-03-2011,14-03-2011,19-03-2011
SO44171,18,17113,3578,1,3578,07-03-2011,14-03-2011,19-03-2011
SO44172,36,3585,699,1,699,07-03-2011,14-03-2011,19-03-2011
SO44173,17,2785,3578,1,3578,08-03-2011,15-03-2011,20-03-2011
SO44174,16,6230,3578,1,3578,08-03-2011,15-03-2011,20-03-2011
SO44175,18,6247,3578,1,3578,08-03-2011,15-03-2011,20-03-2011
SO44176,19,1221,3578,1,3578,09-03-2011,16-03-2011,21-03-2011
SO44177,5,338,3375,1,3375,09-03-2011,16-03-2011,21-03-2011
SO44178,17,17098,3578,1,3578,09-03-2011,16-03-2011,21-03-2011
SO44179,5,14889,3375,1,3375,09-03-2011,16-03-2011,21-03-2011
SO44180,10,59,3400,1,3400,09-03-2011,16-03-2011,21-03-2011
SO44181,17,6295,3578,1,3578,09-03-2011,16-03-2011,21-03-2011
SO44182,20,6300,3578,1,3578,09-03-2011,16-03-2011,21-03-2011
SO44183,20,17159,3578,1,3578,10-03-2011,17-03-2011,22-03-2011
SO44184,19,6248,3578,1,3578,10-03-2011,17-03-2011,22-03-2011
SO44185,20,6281,3578,1,3578,10-03-2011,17-03-2011,22-03-2011
SO44186,10,14890,3400,1,3400,12-03-2011,19-03-2011,24-03-2011
SO44187,18,6070,3578,1,3578,12-03-2011,19-03-2011,24-03-2011
SO44188,40,9053,699,1,699,13-03-2011,20-03-2011,25-03-2011
SO44189,46,9055,699,1,699,13-03-2011,20-03-2011,25-03-2011
SO44190,3,62,3375,1,3375,13-03-2011,20-03-2011,25-03-2011
